"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2009","925.00","990.50","990.50","920.00","0.10K","-6.04%"
"09/11/2009","984.50","969.25","990.00","962.50","0.54K","1.13%"
"09/10/2009","973.50","974.50","979.00","961.50","0.25K","1.25%"
"09/09/2009","961.50","975.00","978.50","960.00","0.37K","-0.77%"
"09/08/2009","969.00","954.25","981.00","951.00","0.30K","0.83%"
"09/04/2009","961.00","982.00","983.75","958.00","0.44K","-2.14%"
"09/03/2009","982.00","1,009.00","1,018.00","969.00","0.93K","-2.70%"
"09/02/2009","1,009.25","1,014.75","1,022.50","1,002.00","0.70K","-0.47%"
"09/01/2009","1,014.00","1,100.00","1,114.25","1,011.75","1.86K","-7.82%"
"08/31/2009","1,100.00","1,139.50","1,147.00","1,094.00","1.85K","-3.15%"
"08/28/2009","1,135.75","1,115.25","1,164.75","1,111.00","7.64K","1.93%"
"08/27/2009","1,114.25","1,091.00","1,116.50","1,090.25","7.60K","2.18%"
"08/26/2009","1,090.50","1,092.50","1,101.50","1,080.00","6.32K","-0.05%"
"08/25/2009","1,091.00","1,077.00","1,108.00","1,072.75","13.50K","1.02%"
"08/24/2009","1,080.00","1,036.25","1,080.00","1,036.25","12.72K","5.57%"
"08/21/2009","1,023.00","1,006.00","1,035.75","998.00","12.43K","2.38%"
"08/20/2009","999.25","997.00","1,007.25","993.75","10.28K","0.23%"
"08/19/2009","997.00","998.00","1,005.00","979.75","9.52K","0.15%"
"08/18/2009","995.50","988.00","1,002.50","976.75","7.89K","0.76%"
"08/17/2009","988.00","1,019.00","1,025.50","977.00","12.98K","-10.18%"
"08/14/2009","1,100.00","1,175.50","1,175.50","1,106.00","0.50K","-7.35%"
"08/13/2009","1,187.25","1,221.50","1,241.25","1,187.25","1.77K","-2.36%"
"08/12/2009","1,216.00","1,210.25","1,226.50","1,190.00","1.66K","-0.04%"
"08/11/2009","1,216.50","1,172.50","1,226.00","1,168.00","2.52K","3.93%"
"08/10/2009","1,170.50","1,167.75","1,194.00","1,166.75","1.85K","-1.18%"
"08/07/2009","1,184.50","1,161.25","1,192.00","1,160.50","0.91K","1.20%"
"08/06/2009","1,170.50","1,174.00","1,176.00","1,149.75","1.15K","-0.38%"
"08/05/2009","1,175.00","1,176.00","1,182.75","1,154.00","2.03K","0.86%"
"08/04/2009","1,165.00","1,168.50","1,178.75","1,160.00","3.03K","-0.72%"
"08/03/2009","1,173.50","1,140.50","1,190.50","1,140.50","5.20K","3.48%"
"07/31/2009","1,134.00","1,127.75","1,140.00","1,110.50","9.09K","0.51%"
"07/30/2009","1,128.25","1,057.25","1,134.25","1,057.25","23.74K","6.69%"
"07/29/2009","1,057.50","1,053.00","1,066.75","1,035.75","21.68K","0.28%"
"07/28/2009","1,054.50","1,022.75","1,059.75","1,020.25","21.47K","3.26%"
"07/27/2009","1,021.25","1,019.25","1,025.75","1,011.25","16.76K","0.02%"
"07/24/2009","1,021.00","1,023.50","1,030.75","1,019.50","16.16K","-0.24%"
"07/23/2009","1,023.50","1,021.00","1,037.00","1,018.00","17.87K","0.49%"
"07/22/2009","1,018.50","1,014.25","1,026.75","1,009.25","13.18K","0.39%"
"07/21/2009","1,014.50","1,034.25","1,040.00","1,005.25","23.01K","-1.79%"
"07/20/2009","1,033.00","1,013.25","1,034.25","1,006.50","16.79K","2.33%"
"07/17/2009","1,009.50","977.25","1,011.00","977.25","20.11K","3.43%"
"07/16/2009","976.00","1,023.50","1,029.00","970.25","38.11K","-4.36%"
"07/15/2009","1,020.50","1,037.00","1,063.75","1,018.00","28.44K","-4.98%"
"07/14/2009","1,074.00","1,079.75","1,090.00","1,058.25","0.26K","-1.60%"
"07/13/2009","1,091.50","1,111.50","1,140.00","1,073.75","0.82K","-3.26%"
"07/10/2009","1,128.25","1,110.00","1,137.00","1,072.25","1.30K","1.60%"
"07/09/2009","1,110.50","1,085.25","1,115.00","1,063.00","1.15K","2.44%"
"07/08/2009","1,084.00","1,138.25","1,146.50","1,079.00","2.53K","-4.37%"
"07/07/2009","1,133.50","1,202.00","1,206.00","1,118.25","4.20K","-5.54%"
"07/06/2009","1,200.00","1,239.00","1,239.00","1,197.00","2.38K","-3.46%"
"07/02/2009","1,243.00","1,258.50","1,258.50","1,223.00","4.08K","-1.23%"
"07/01/2009","1,258.50","1,228.00","1,265.50","1,228.00","10.16K","2.63%"
"06/30/2009","1,226.25","1,220.00","1,232.50","1,190.00","20.91K","0.93%"
"06/29/2009","1,215.00","1,200.00","1,225.25","1,196.00","46.95K","1.17%"
"06/26/2009","1,201.00","1,195.75","1,209.75","1,194.75","49.30K","0.42%"
"06/25/2009","1,196.00","1,182.75","1,202.00","1,180.00","49.31K","0.93%"
"06/24/2009","1,185.00","1,179.00","1,194.50","1,170.50","42.58K","0.51%"
"06/23/2009","1,179.00","1,152.25","1,182.00","1,152.25","41.21K","2.39%"
"06/22/2009","1,151.50","1,184.00","1,184.50","1,150.50","65.48K","-2.33%"
"06/19/2009","1,179.00","1,217.75","1,225.75","1,175.50","67.11K","-2.86%"
"06/18/2009","1,213.75","1,211.00","1,226.00","1,199.00","57.25K","0.62%"
"06/17/2009","1,206.25","1,203.00","1,215.00","1,188.00","72.15K","0.42%"
"06/16/2009","1,201.25","1,202.00","1,219.00","1,187.50","71.11K","0.36%"
"06/15/2009","1,197.00","1,244.00","1,254.50","1,197.00","78.28K","-3.89%"
"06/12/2009","1,245.50","1,268.00","1,281.75","1,235.50","82.87K","-1.70%"
"06/11/2009","1,267.00","1,249.25","1,291.25","1,248.25","114.54K","1.69%"
"06/10/2009","1,246.00","1,240.00","1,255.50","1,237.50","99.29K","0.20%"
"06/09/2009","1,243.50","1,234.00","1,249.00","1,226.75","90.92K","0.89%"
"06/08/2009","1,232.50","1,227.00","1,239.75","1,216.00","87.74K","0.57%"
"06/05/2009","1,225.50","1,231.00","1,236.50","1,211.50","83.37K","-0.37%"
"06/04/2009","1,230.00","1,182.00","1,232.00","1,177.00","92.74K","4.06%"
"06/03/2009","1,182.00","1,210.50","1,212.75","1,181.00","84.92K","-2.23%"
"06/02/2009","1,209.00","1,218.00","1,221.75","1,200.50","71.04K","-0.78%"
"06/01/2009","1,218.50","1,186.00","1,227.00","1,185.75","97.97K","2.91%"
"05/29/2009","1,184.00","1,177.25","1,193.00","1,175.25","72.11K","0.42%"
"05/28/2009","1,179.00","1,181.25","1,197.50","1,175.25","77.91K","-0.67%"
"05/27/2009","1,187.00","1,191.00","1,200.75","1,177.50","94.01K","0.13%"
"05/26/2009","1,185.50","1,155.25","1,187.50","1,151.00","83.02K","1.67%"
"05/22/2009","1,166.00","1,174.00","1,184.75","1,164.00","67.14K","-0.77%"
"05/21/2009","1,175.00","1,166.00","1,177.50","1,150.00","77.54K","0.51%"
"05/20/2009","1,169.00","1,161.75","1,189.50","1,160.00","101.89K","0.60%"
"05/19/2009","1,162.00","1,146.00","1,169.50","1,141.00","84.94K","1.35%"
"05/18/2009","1,146.50","1,125.00","1,148.25","1,113.50","70.54K","1.42%"
